time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-14 00:00:00+00:00,52,15,12,1
2026-05-15 00:00:00+00:00,41,15,33,3
2026-05-16 00:00:00+00:00,36,13,0,0
2026-05-17 00:00:00+00:00,4,2,0,0
2026-05-18 00:00:00+00:00,22,10,4,2
2026-05-19 00:00:00+00:00,27,10,2,1
2026-05-20 00:00:00+00:00,17,8,1,1
2026-05-21 00:00:00+00:00,14,6,0,0
2026-05-22 00:00:00+00:00,24,7,35,1
2026-05-23 00:00:00+00:00,6,6,0,0
2026-05-24 00:00:00+00:00,29,10,0,0
2026-05-25 00:00:00+00:00,20,5,24,1
2026-05-26 00:00:00+00:00,22,7,0,0
2026-05-27 00:00:00+00:00,15,6,7,1
