time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-06 00:00:00+00:00,6,3,0,0
2026-09-07 00:00:00+00:00,25,6,1,1
2026-09-08 00:00:00+00:00,25,9,10,1
2026-09-09 00:00:00+00:00,6,5,0,0
2026-09-10 00:00:00+00:00,11,11,32,2
2026-09-11 00:00:00+00:00,9,8,0,0
2026-09-12 00:00:00+00:00,1,1,0,0
2026-09-13 00:00:00+00:00,5,3,0,0
2026-09-14 00:00:00+00:00,17,7,17,1
2026-09-15 00:00:00+00:00,4,3,7,1
2026-09-16 00:00:00+00:00,22,10,0,0
2026-09-17 00:00:00+00:00,2,2,7,1
2026-09-18 00:00:00+00:00,5,4,0,0
2026-09-19 00:00:00+00:00,6,5,0,0
