time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,104,32,1,1
2026-04-22 00:00:00+00:00,237,69,7,2
2026-04-23 00:00:00+00:00,99,36,1,1
2026-04-24 00:00:00+00:00,221,66,13,1
2026-04-25 00:00:00+00:00,86,38,0,0
2026-04-26 00:00:00+00:00,86,23,0,0
2026-04-27 00:00:00+00:00,50,13,5,2
2026-04-28 00:00:00+00:00,130,43,8,3
2026-04-29 00:00:00+00:00,53,17,18,2
2026-04-30 00:00:00+00:00,61,21,30,2
2026-05-01 00:00:00+00:00,38,9,0,0
2026-05-02 00:00:00+00:00,26,8,0,0
2026-05-03 00:00:00+00:00,23,10,18,2
2026-05-04 00:00:00+00:00,6,5,7,2
