time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-28 00:00:00+00:00,71,25,4,2
2026-01-29 00:00:00+00:00,15,12,0,0
2026-01-30 00:00:00+00:00,15,6,2,2
2026-01-31 00:00:00+00:00,16,7,0,0
2026-02-01 00:00:00+00:00,12,7,0,0
2026-02-02 00:00:00+00:00,12,7,22,3
2026-02-03 00:00:00+00:00,2,2,7,1
2026-02-04 00:00:00+00:00,16,7,4,1
2026-02-05 00:00:00+00:00,14,9,7,3
2026-02-06 00:00:00+00:00,12,7,0,0
2026-02-07 00:00:00+00:00,15,5,0,0
2026-02-08 00:00:00+00:00,25,12,0,0
2026-02-09 00:00:00+00:00,16,7,0,0
2026-02-10 00:00:00+00:00,8,4,0,0
