time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-13 00:00:00+00:00,5,4,8,1
2025-11-14 00:00:00+00:00,4,3,0,0
2025-11-15 00:00:00+00:00,7,6,0,0
2025-11-16 00:00:00+00:00,3,3,0,0
2025-11-17 00:00:00+00:00,6,6,29,2
2025-11-18 00:00:00+00:00,3,3,1,1
2025-11-19 00:00:00+00:00,2,2,9,1
2025-11-20 00:00:00+00:00,2,2,7,1
2025-11-21 00:00:00+00:00,2,2,0,0
2025-11-22 00:00:00+00:00,2,2,2,1
2025-11-23 00:00:00+00:00,2,2,0,0
2025-11-24 00:00:00+00:00,2,2,24,1
2025-11-25 00:00:00+00:00,4,4,0,0
2025-11-26 00:00:00+00:00,2,2,56,1
2025-11-27 00:00:00+00:00,6,6,10,1
